  idx    bwx    bwy    wox    woy  atom          wix    wiy    bk    wk    mtb    bx    by    regs    smem    latency
-----  -----  -----  -----  -----  ----------  -----  -----  ----  ----  -----  ----  ----  ------  ------  ---------
   14      2      2      1      1  custom_4x8      4      4     8     1      6    32    64      80    6144      0.034
   13      2      2      1      1  row_4x8         4      4     8     1      6    32    64      80    6144      0.036
    8      2      2      1      1  custom_4x8      4      4     4     1      6    32    64      80    3072      0.038
    7      2      2      1      1  row_4x8         4      4     4     1      6    32    64      80    3072      0.038
   15      2      2      1      1  row_2x16        4      4     8     1      5    16   128      88    9216      0.038
   97      1      1      3      1  custom_4x8      4      4     4     1     16    48    32     128    2560      0.039
    3      1      2      1      1  custom_4x8      4      4     4     1     12    16    64      80    2560      0.039
    2      1      2      1      1  row_4x8         4      4     4     1     12    16    64      80    2560      0.039
   17      2      4      1      1  custom_4x8      4      4     8     1      3    32   128      80   10240      0.039
   33      2      2      1      2  custom_4x8      4      4     8     1      4    32   128     104   10240      0.040
   29      2      2      1      2  custom_4x8      4      4     4     1      4    32   128     104    5120      0.040
   58      2      2      2      1  row_2x16        4      4     8     1      4    32   128     104   10240      0.040
    6      2      1      1      1  row_2x16        4      4     4     1     12    16    64      80    2560      0.040
   98      1      1      3      1  row_2x16        4      4     4     1     16    24    64     128    2816      0.040
   16      2      4      1      1  row_4x8         4      4     8     1      3    32   128      80   10240      0.041
   20      4      2      1      1  row_2x16        4      4     8     1      3    32   128      80   10240      0.041
   32      2      2      1      2  row_4x8         4      4     8     1      4    32   128     104   10240      0.041
   50      2      2      2      1  row_2x16        4      4     4     1      4    32   128     104    5120      0.041
   96      1      1      3      1  row_4x8         4      4     4     1     16    48    32     128    2560      0.041
   28      2      2      1      2  row_4x8         4      4     4     1      4    32   128     104    5120      0.041
   34      2      4      1      2  row_4x8         4      4     8     1      2    32   256     104   18432      0.041
   60      2      4      2      1  custom_4x8      4      4     8     1      2    64   128     104   12288      0.041
   36      4      2      1      2  row_4x8         4      4     8     1      2    64   128     104   12288      0.041
   37      4      2      1      2  custom_4x8      4      4     8     1      2    64   128     104   12288      0.042
   43      1      2      2      1  custom_4x8      4      4     4     1      9    32    64     104    3072      0.042
   42      1      2      2      1  row_4x8         4      4     4     1      9    32    64     104    3072      0.042
   59      2      4      2      1  row_4x8         4      4     8     1      2    64   128     104   12288      0.042
